Nombre,Sueldo Base,Descuento Salud (7%),Descuento AFP (12%),Sueldo Líquido
Juan Pérez,2350670.39,164546.93,282080.45,1904043.02
María García,427011.54,29890.81,51241.38,345879.35
Carlos López,2410336.01,168723.52,289240.32,1952372.17
Ana Martínez,1366458.62,95652.1,163975.03,1106831.48
Pedro Rodríguez,1208192.56,84573.48,144983.11,978635.97
Laura Hernández,1215233.79,85066.37,145828.05,984339.37
Miguel Sánchez,967487.9,67724.15,116098.55,783665.2
Isabel Gómez,1496347.14,104744.3,179561.66,1212041.18
Francisco Díaz,2052646.04,143685.22,246317.52,1662643.29
Elena Fernández,1861865.4,130330.58,223423.85,1508110.97
